,coord1,coord2,volume,dii1,dii2,from,to
1268,30.75,-0.25,6.25,652457.2226299973,652457.2226299973,27801,27828
1269,30.75,0.25,6.25,652457.2226299973,652457.2226299973,27828,27855
1270,30.75,0.75,6.25,652457.2226299973,652457.2226299973,27855,27877
1271,30.75,1.25,6.25,652457.2226299973,652457.2226299973,27877,27894
1272,31.25,-1.25,6.25,652457.2226299973,652457.2226299973,27894,27911
1273,31.25,-0.75,6.25,652457.2226299973,652457.2226299973,27911,27933
1274,31.25,-0.25,6.25,652457.2226299973,652457.2226299973,27933,27960
1275,31.25,0.25,6.25,652457.2226299973,652457.2226299973,27960,27987
1276,31.25,0.75,6.25,652457.2226299973,652457.2226299973,27987,28009
1277,31.25,1.25,6.25,652457.2226299973,652457.2226299973,28009,28026
1278,31.75,-1.25,6.25,652457.2226299973,652457.2226299973,28026,28043
1279,31.75,-0.75,6.25,652457.2226299973,652457.2226299973,28043,28065
1280,31.75,-0.25,6.25,652457.2226299973,652457.2226299973,28065,28092
1281,31.75,0.25,6.25,652457.2226299973,652457.2226299973,28092,28119
1282,31.75,0.75,6.25,652457.2226299973,652457.2226299973,28119,28141
1283,31.75,1.25,6.25,652457.2226299973,652457.2226299973,28141,28158
1284,32.25,-1.25,6.25,652457.2226299973,652457.2226299973,28158,28175
1285,32.25,-0.75,6.25,652457.2226299973,652457.2226299973,28175,28197
1286,32.25,-0.25,6.25,652457.2226299973,652457.2226299973,28197,28224
1287,32.25,0.25,6.25,652457.2226299973,652457.2226299973,28224,28251
1288,32.25,0.75,6.25,652457.2226299973,652457.2226299973,28251,28273
1289,32.25,1.25,6.25,652457.2226299973,652457.2226299973,28273,28290
1290,32.75,-1.25,6.25,652457.2226299973,652457.2226299973,28290,28307
1291,32.75,-0.75,6.25,652457.2226299973,652457.2226299973,28307,28329
1292,32.75,-0.25,6.25,652457.2226299973,652457.2226299973,28329,28356
1293,32.75,0.25,6.25,652457.2226299973,652457.2226299973,28356,28383
1294,32.75,0.75,6.25,652457.2226299973,652457.2226299973,28383,28405
1295,32.75,1.25,6.25,652457.2226299973,652457.2226299973,28405,28422
1296,33.25,-1.25,6.25,652457.2226299973,652457.2226299973,28422,28439
